,Station Name,Station ID,Number of Customers,Average Trip Duration (min),Latitude,Longitude,Year
120,E 27 St & 1 Ave,2012.0,21060,756.3049382716049,40.73944499998895,-73.97680600003048,2014
121,E 3 St & 1 Ave,428.0,33940,709.9533883323512,40.72467720998046,-73.98783412996015,2014
122,E 30 St & Park Ave S,546.0,33585,692.1472085752569,40.74444920997648,-73.98303528999148,2014
123,E 31 St & 3 Ave,476.0,34601,728.3609722262362,40.743943139991934,-73.97966068998562,2014
124,E 32 St & Park Ave,472.0,43561,677.9952480429743,40.745712100010735,-73.98194829001831,2014
125,E 33 St & 1 Ave,527.0,15768,761.1345763571791,40.74315565999359,-73.97434725999744,2014
126,E 33 St & 2 Ave,527.0,2595,727.4705202312139,40.74402300000212,-73.97605600000416,2014
127,E 33 St & 5 Ave,526.0,28387,731.5637791947019,40.74765946997943,-73.98490706995685,2014
128,E 37 St & Lexington Ave,160.0,19634,752.2182947947438,40.74823799998056,-73.97831099999317,2014
129,E 39 St & 2 Ave,518.0,38635,791.7008929726932,40.74780372997453,-73.97344190004958,2014
130,E 39 St & 3 Ave,167.0,34484,752.1713838301821,40.74890060000942,-73.97604882000626,2014
131,E 4 St & 2 Ave,439.0,31359,768.0931789916771,40.726280699972484,-73.989780409993,2014
132,E 40 St & 5 Ave,153.0,34336,703.6444547996272,40.752062306977656,-73.9816324043124,2014
133,E 41 St & Madison Ave,517.0,18684,772.3865874545065,40.752141000004,-73.9797819999722,2014
134,E 42 St & Vanderbilt Ave,519.0,56308,806.0534559920437,40.7524159999829,-73.97837000005289,2014
135,E 43 St & 2 Ave,2017.0,11906,874.4428019485973,40.75022391999413,-73.97121413998346,2014
136,E 43 St & Vanderbilt Ave,318.0,56264,746.8089186691312,40.75320158996268,-73.97798739990603,2014
137,E 45 St & 3 Ave,440.0,20444,782.2195754255528,40.75255434001872,-73.97282624997693,2014
138,E 47 St & 1 Ave,516.0,11847,866.3242171013759,40.752068620000486,-73.96784384000857,2014
139,E 47 St & 2 Ave,164.0,18887,845.3497114417324,40.75323098000791,-73.97032517001391,2014
140,E 47 St & Park Ave,359.0,29563,737.886276764875,40.75510267002801,-73.97498695997058,2014
141,E 48 St & 3 Ave,228.0,21674,867.5264372058688,40.754601102587586,-73.97187885501906,2014
142,E 48 St & Madison Ave,538.0,1781,703.5446378439079,40.75665999999921,-73.97668399999729,2014
143,E 5 St & Avenue C,393.0,15943,799.6845010349369,40.72299207999557,-73.97995466001653,2014
144,E 51 St & 1 Ave,454.0,13281,920.4262480234922,40.754557310010036,-73.96592976000973,2014
145,E 51 St & Lexington Ave,522.0,19074,908.6694977456223,40.757147580005906,-73.97207835998864,2014
146,E 52 St & 2 Ave,441.0,14969,898.5947625091857,40.756014000001734,-73.96741599999724,2014
147,E 53 St & Lexington Ave,367.0,17012,854.6252645191629,40.758280650011315,-73.97069431001354,2014
148,E 53 St & Madison Ave,456.0,14987,888.0349636351505,40.759710800009124,-73.9740231100004,2014
149,E 55 St & 2 Ave,385.0,14393,1021.5051761272841,40.75797322000616,-73.96603308000746,2014
150,E 55 St & Lexington Ave,2023.0,12750,948.7050980392157,40.75968085000993,-73.97031365998758,2014
151,E 56 St & 3 Ave,464.0,16066,998.7366488236026,40.759345010002086,-73.96759672998935,2014
152,E 56 St & Madison Ave,137.0,17024,939.438087406015,40.76162799999119,-73.97292399998202,2014
153,E 58 St & 3 Ave,305.0,33254,1151.9904372406327,40.760957560019094,-73.96724466999045,2014
154,E 59 St & Sutton Pl,2022.0,16461,1154.3516797278417,40.75849115999885,-73.95920621999572,2014
155,E 6 St & Avenue B,317.0,26373,749.0118302809692,40.72453733999327,-73.98185423995996,2014
156,E 6 St & Avenue D,411.0,12169,898.9239871805407,40.722280870005385,-73.97668709000523,2014
157,E 7 St & Avenue A,432.0,35633,746.2150253978054,40.72621787998207,-73.98379854997896,2014
158,E 9 St & Avenue C,394.0,26059,812.6497946966499,40.725213109987,-73.97768751997877,2014
159,Elizabeth St & Hester St,263.0,27674,903.9575413745754,40.71728999997745,-73.99637500004559,2014
160,Emerson Pl & Myrtle Ave,354.0,5132,966.9294621979735,40.693631369999025,-73.96223558000477,2014
161,FDR Drive & E 35 St,501.0,24600,1081.9483333333333,40.74421899998751,-73.97121214003514,2014
162,Flushing Ave & Carlton Ave,242.0,5531,1128.6537696619057,40.69788349000101,-73.97350332000781,2014
163,Forsyth St & Broome St,531.0,30521,770.3651584155172,40.71893903999692,-73.99266288005079,2014
164,Forsyth St & Canal St,412.0,20096,903.7124303343949,40.71581550000643,-73.99422366001389,2014
165,Franklin Ave & Myrtle Ave,372.0,2883,3877.9653139091224,40.6945280000032,-73.95808899999918,2014
166,Franklin St & W Broadway,79.0,19944,819.5949659045327,40.71911552001033,-74.00666661001347,2014
167,Front St & Gold St,418.0,5537,947.2752392992595,40.702240000004906,-73.98257799999645,2014
168,Front St & Maiden Ln,351.0,16110,1162.48330229671,40.705309539997884,-74.00612571998981,2014
169,Front St & Washington St,2000.0,14721,1137.8515046532166,40.70255088001613,-73.98940236002332,2014
170,Fulton St & Clermont Ave,397.0,4184,993.8969885277247,40.68415747999955,-73.96922273000139,2014
171,Fulton St & Grand Ave,365.0,5787,1132.4060825989286,40.68223166000089,-73.96145830000415,2014
172,Fulton St & Rockwell Pl,243.0,6683,703.8767020799042,40.68814916130351,-73.97909953224017,2014
